AOI,area_m2,perimeter_m,RiverOceanBoundary,Discharge,ExtentFile,LandcoverMethod,LandElevMethod,OceanElevMethod,LowerRiverElevMethod,UpperRiverElevMethod,WetlandElevMethod,LakeElevMethod,ManningLUT,WetlandClass,BEDINTERCEPT_lower,BEDSLOPE_lower,BEDINTERCEPT_upper,BEDSLOPE_upper,WD_LINEARSLOPE_lower,WD_LINEARINTERCEPT_lower,WD_LINEARSLOPE_upper,WD_LINEARINTERCEPT_upper,WD_POWERA_lower,WD_POWERB_lower,WD_POWERA_upper,WD_POWERB_upper,MaxOceanDepth,MaxNearshoreDepth,MaxRiverDepth,MaxRiverWidth
Mississippi,7.99E+10,1137177.25,0,16792,Mississippi_input.shp,WorldCover,GLO30,GEBCO,plane,wdpower,constant_0,constant_1,default,90,4.03E-05,5.99E-06,4.03E-05,5.99E-06,,,,,,,,,-300,-300,-300,9241
Chaophraya,40727855168,811064,10000,718,Chaophraya_input.shp,WorldCover,GLO30,GEBCO,plane,wdpower,constant_0,constant_1,default,90,4.03E-05,5.99E-06,4.03E-05,5.99E-06,0.0124,0.9449,0.0127,0.8768,0.0611,0.7718,0.0606,0.773,-300,-300,-300,735
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indus,2.74E+10,663130.52,26000,6930,Indus_input.shp,WorldCover,GLO30,GEBCO,plane,wdpower,constant_0,constant_1,default,90,4.03E-05,5.99E-06,4.03E-05,5.99E-06,0.01,1.9633,0.01,1.9633,0.0645,0.7653,0.0645,0.7653,-300,-300,-300,1861
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
